cycle_id,avg_feed_per_day,avg_growth_feed
8005,55.87,0.24
8006,28.17,0.16
8007,54.07,0.37
8008,49.89,0.34
8010,43.24,0.26
8011,45.99,0.28
8012,21.34,0.11
8013,33.94,0.22
8014,10.79,0.06
8092,9.47,-0.03
8139,10.12,0.05
8259,15.69,0.03
8265,15.55,0.0
8266,13.76,0.0
8292,15.19,1.14
8293,7.85,0.1
8475,7.84,0.06
8476,8.98,0.36
8578,17.76,0.03
8669,4.42,0.34
8670,2.95,0.18
8674,5.88,0.44
8677,2.48,0.1
8683,200.0,
8684,12.5,11.33
8685,11.0,0.33
8687,1.69,0.16
8688,2.1,0.22
8716,15.21,-0.22
8914,3.95,0.22
8948,5.36,0.15
8963,2.27,-0.05
8985,13.0,0.0
8988,1.88,0.03
9057,14.32,-0.15
9058,7.09,0.02
9065,5.98,0.05
9089,1.19,0.05
9090,14.64,0.03
9091,14.09,0.03
9093,15.58,0.03
9094,10.95,0.03
9095,15.62,0.04
9096,15.17,0.03
9097,14.58,0.03
9098,15.15,0.03
9100,11.93,0.03
9101,15.55,0.03
9102,9.35,0.02
9103,9.16,0.02
9104,11.89,0.03
9105,12.69,0.02
9106,9.47,0.02
9112,2.65,0.21
9399,7.39,0.0
9481,2.0,0.0
9482,2.17,0.07
9484,3.45,0.12
9505,1.39,0.03
9516,5.77,0.25
9522,6.45,0.07
9545,8.01,0.02
9585,3.13,0.07
9590,3.85,0.12
9665,2.52,0.09
9877,6.76,0.01
9921,4.26,-0.01
9981,6.4,0.02
9984,12.5,0.3
9987,9.69,0.12
9988,6.43,0.03
9989,9.0,0.08
9990,12.15,0.57
9992,6.19,0.13
9993,19.51,0.24
9994,7.25,0.06
9996,7.34,0.14
9997,13.33,0.37
9998,7.21,0.15
10000,11.67,0.07
10004,40.05,0.01
10005,16.62,0.1
10006,4.75,0.02
10009,4.93,0.02
10010,6.98,0.02
10017,8.02,0.01
10018,11.94,5.46
10019,5.52,0.03
10022,5.22,0.01
10023,7.48,0.01
10025,6.18,1.9
10026,3.53,0.04
10027,3.83,0.02
10028,8.5,0.01
10029,8.58,0.05
10030,18.51,0.05
10031,8.08,0.01
10041,6.84,0.01
10042,10.33,0.03
10043,7.31,0.01
10044,8.02,0.01
10046,3.68,0.02
10070,14.9,0.0
10071,13.13,0.0
10072,14.14,0.0
10089,4.55,0.1
10090,2.75,-0.11
10091,5.17,0.14
10166,2.08,0.0
10169,3.04,-0.07
10175,5.0,0.33
10191,3.93,0.05
10195,22.5,0.22
10196,17.24,0.2
10197,22.05,0.16
10198,14.08,0.16
10200,7.05,0.05
10201,13.1,0.04
10203,16.11,0.08
10241,12.21,-0.01
10242,14.52,0.18
10258,4.79,0.02
10357,2.23,-0.33
10358,13.81,0.01
10360,4.1,0.15
10366,21.43,0.11
10367,22.19,0.26
10369,13.91,0.25
10371,24.57,0.19
10384,5.32,0.42
10400,12.88,0.04
10408,12.03,0.02
10414,15.83,0.06
10535,5.15,0.09
10636,2.91,0.13
10639,1.79,0.0
10703,63.12,1.06
10704,74.39,1.18
10705,52.27,1.19
10706,46.44,1.14
10710,46.1,1.1
10711,51.81,0.83
10712,46.76,0.8
10713,37.54,0.69
10714,53.83,0.95
10718,12.29,0.07
10719,11.01,0.14
10737,12.53,0.15
10755,6.82,0.33
10757,3.88,0.22
10759,6.96,0.05
10763,18.75,0.07
10764,3.35,0.09
10771,71.5,0.02
10772,85.39,0.43
10809,3.38,0.06
10811,1.9,0.05
10857,3.1,0.12
10896,4.63,0.35
10897,2.0,0.0
10984,3.28,-0.03
10985,10.84,0.14
11017,11.62,0.04
11042,4.64,0.06
11044,6.86,0.02
11080,9.91,0.0
11081,8.82,-0.03
11109,4.48,0.14
11149,8.06,0.12
11159,7.64,0.03
11168,11.14,0.02
11225,8.75,0.0
11304,10.97,0.08
11317,2.56,0.06
11338,7.61,0.12
11339,6.96,0.03
11340,5.01,0.03
11341,5.47,0.03
11342,17.94,0.35
11345,14.21,0.07
11346,10.14,0.17
11347,1.03,0.0
11351,3.22,0.11
11352,8.69,0.08
11422,2.5,0.11
11423,1.9,0.11
