cycle_id,pond_id,species_id,total_seed,area,initial_age,limit_weight_per_area,target_cultivation_day,target_size,pond_size,padat_tebar,total_feed,avg_feed_per_day,avg_growth_feed,size_harvest,weight_harvest,total_harvested,selling_price,cycle_lead_time,harvest_time,total_seed_type_actual,total_seed_type_gross,total_seed_type_net,pond_name_A,pond_name_A1,pond_name_A2,pond_name_A3,pond_name_A4,pond_name_Other,survival_rate,survival_rate_pred,avg_body_weight,avg_body_weight_pred
9545,22914,1,257400,1526.0,0,1.25,120,45.0,1499.91,386076525.12,1882.7,8.01,0.02,371.0,835.09,61964,56916189,68,68,0,0,1,0,1,0,0,0,0,24.07,23.8,9.9,9.041858275921538
9585,20894,1,82000,1500.0,0,1.2,120,45.0,1499.91,122992521.6,569.1,3.13,0.07,310.0,350.0,53500,15550000,55,55,0,0,1,0,0,0,0,0,1,65.24,65.4,6.66,5.691978614731359
9877,21899,1,125000,2000.0,0,1.25,120,45.0,2000.02,250002150.0,717.0,6.76,0.01,271.0,820.0,109573,38289000,60,60,0,0,1,0,0,0,0,0,1,87.66,87.97,7.46,6.825040580310218
9921,19381,1,70000,725.0,0,1.25,120,45.0,725.02,50751316.0,294.2,4.26,-0.01,390.0,102.0,20965,3806000,65,65,0,0,1,0,0,0,0,0,1,29.95,31.67,4.58,4.858854845436067
9984,23708,1,50000,700.0,0,1.25,120,45.0,699.9,34995025.0,800.0,12.5,0.3,168.0,676.0,55936,444,65,65,0,0,1,0,0,0,0,0,1,100.0,99.66,11.3,8.694080774268025
9989,23700,1,60000,1000.0,0,1.25,120,45.0,1000.01,60000534.0,819.0,9.0,0.08,323.0,620.0,33160,42420000,94,94,0,0,1,0,0,0,0,0,1,55.27,55.05,6.28,8.911372383151479
9993,23679,1,100000,2500.0,0,1.25,120,45.0,1030.3,103030200.0,1795.0,19.51,0.24,185.0,1372.5,76288,101897500,96,96,0,0,1,0,0,0,0,0,1,76.29,75.84,16.1,13.453510400381205
9996,23694,1,40000,1000.0,0,1.25,120,45.0,1000.01,40000356.0,491.5,7.34,0.14,78.0,342.0,26676,33729000,69,69,0,0,1,0,0,0,0,0,1,66.69,68.89,11.2,9.500849560056668
9998,23697,1,75000,1000.0,0,1.25,120,45.0,1000.01,75000667.5,555.0,7.21,0.15,53.0,210.0,11130,33729000,79,79,0,0,1,0,0,0,0,0,1,14.84,16.03,6.06,8.989159320076645
10000,23692,1,100000,1000.0,0,1.25,120,45.0,1000.01,100000890.0,560.0,11.67,0.07,220.0,360.0,79200,18720000,48,48,0,0,1,0,0,0,0,0,1,79.2,80.6,3.6,4.1878632121029415
10004,23668,1,210000,3700.0,0,1.25,120,45.0,3700.24,777051072.0,4685.64,40.05,0.01,508.21,4434.5,242063,339670610,118,118,0,0,1,0,0,0,0,0,1,100.0,98.5,3.85,8.482111296007902
10005,23669,1,75000,1000.0,0,1.25,120,45.0,1000.01,75000667.5,1412.56,16.62,0.1,190.8,1141.0,70981,82541210,86,85,0,0,1,0,0,0,0,0,1,94.64,93.22,4.6,8.667474577632541
10010,23632,1,100000,900.0,0,1.25,150,45.0,750.03,75002640.0,2604.75,6.98,0.02,473.0,1932.0,126320,141095600,119,119,0,1,0,0,0,0,0,0,1,100.0,99.83,16.46,14.149191572293372
10026,23681,1,25000,700.0,0,1.25,120,45.0,699.9,17497512.5,233.12,3.53,0.04,190.0,150.0,28500,150,67,66,0,1,0,0,0,0,0,0,1,100.0,98.18,3.8,4.929602420308444
10027,23696,1,30000,300.0,0,1.25,120,45.0,300.0,9000000.0,306.11,3.83,0.02,270.0,250.0,34500,11750000,82,81,0,1,0,0,0,0,0,0,1,100.0,98.95,3.95,6.478919410686498
10028,23701,1,55000,606.0,0,1.25,120,45.0,790.08,43454202.0,892.7,8.5,0.01,270.0,797.0,59359,48259000,108,108,0,0,1,0,0,0,0,0,1,100.0,98.41,10.0,10.960579872910456
10029,23702,1,45000,800.0,0,1.25,120,45.0,799.84,35992953.0,891.97,8.58,0.05,253.0,748.0,52458,49434000,108,108,0,0,1,0,0,0,0,0,1,100.0,99.19,11.1,11.123092032019832
10030,23698,1,100000,1000.0,0,1.25,120,45.0,1000.01,100000890.0,1776.87,18.51,0.05,394.0,866.0,84745,39397008,97,97,0,0,1,0,0,0,0,0,1,84.75,84.15,9.0,10.45288295340523
10031,23699,1,50000,1020.0,0,1.25,120,45.0,1020.1,51005040.0,775.81,8.08,0.01,394.7,816.5,77999,45032000,97,97,0,0,1,0,0,0,0,0,1,100.0,99.84,13.51,11.172091396522152
10042,23633,1,180000,2200.0,0,1.25,120,45.0,2199.98,395996256.0,4079.5,10.33,0.03,357.0,3525.0,208223,242905000,109,108,0,1,0,0,0,0,1,0,0,100.0,99.07,8.6,10.759238558657367
10043,23634,1,120000,1400.0,0,1.25,120,45.0,1399.68,167961600.0,2765.0,7.31,0.01,381.0,2177.0,143474,138972000,110,109,0,1,0,0,0,0,0,0,1,100.0,99.16,8.14,10.471000072451766
10044,23765,1,110000,1200.0,0,1.25,120,45.0,1200.0,132000000.0,3422.5,8.02,0.01,344.5,2469.0,117743,200082200,120,119,0,1,0,1,0,0,0,0,0,100.0,99.08,8.37,11.496540231850037
10046,23693,1,40000,1000.0,0,1.25,120,45.0,1000.01,40000356.0,515.0,3.68,0.02,228.0,450.7,30339,31787380,78,78,0,0,1,0,0,0,0,0,1,75.85,75.18,13.54,10.268299507664102
10070,20889,1,320000,2000.0,0,1.25,140,45.0,2000.02,640005504.0,9267.5,14.9,0.0,247.68,5600.76,222239,491733577,136,136,0,1,0,0,0,0,0,0,1,69.45,69.05,17.48,16.87609427108568
10071,20890,1,320000,2000.0,0,1.25,140,45.0,2000.02,640005504.0,8257.5,13.13,0.0,232.07,5175.98,199818,466258704,137,137,0,1,0,0,0,0,0,0,1,62.44,63.09,18.89,17.395924205307228
10072,20891,1,320000,2000.0,0,1.25,140,45.0,2000.02,640005504.0,8852.6,14.14,0.0,236.46,5405.53,209932,483479284,136,136,0,1,0,0,0,0,0,0,1,65.6,65.32,17.69,17.095654892637327
10191,30535,1,50000,100.0,0,1.2,100,40.0,100.02,5001150.0,279.0,3.93,0.05,263.33,220.0,15833,11470000,74,74,0,0,1,0,1,0,0,0,0,31.67,40.85,8.27,7.483012229544621
10195,24013,1,100000,1000.0,0,1.25,120,35.0,850.17,85016750.0,2475.0,22.5,0.22,304.0,1422.99,62173,116469944,113,113,0,0,1,1,0,0,0,0,0,62.17,62.08,16.41,15.10223930247585
10196,24014,1,90000,1000.0,0,1.25,120,45.0,900.0,81000000.0,1500.0,17.24,0.2,173.0,1193.75,64281,91685125,89,89,0,0,1,1,0,0,0,0,0,71.42,69.55,15.49,12.974752436706883
10197,24015,1,130000,1000.0,0,1.25,120,45.0,1000.01,130001157.0,2425.0,22.05,0.16,348.0,1842.22,84732,146950342,111,111,0,1,0,1,0,0,0,0,0,65.18,66.66,14.9,13.97302198964162
10198,24018,1,90000,1000.0,0,1.25,120,45.0,1000.01,90000801.0,1225.0,14.08,0.16,468.0,551.79,41353,37024428,89,89,0,0,1,1,0,0,0,0,0,45.95,46.29,11.43,9.737702853482933
10200,24019,1,90000,1000.0,0,1.25,120,45.0,1000.01,90000801.0,550.0,7.05,0.05,169.0,213.3,15304,13759380,80,80,0,0,1,1,0,0,0,0,0,17.0,17.9,7.55,7.489682640867101
10201,24020,1,60000,1000.0,0,1.25,120,45.0,1000.01,60000534.0,1126.9,13.1,0.04,318.0,731.52,49088,46429056,87,87,0,0,1,1,0,0,0,0,0,81.81,82.17,7.02,8.528835812200636
10241,23715,1,80000,1100.0,0,1.25,120,45.0,1099.98,87998080.0,1050.3,12.21,-0.01,139.0,1026.0,70122,67164000,89,89,0,0,1,0,0,0,0,0,1,87.65,88.99,7.95,9.268527936317495
10242,23713,1,80000,700.0,0,1.25,120,45.0,699.9,55992040.0,1510.4,14.52,0.18,236.0,1204.0,76140,86998000,106,106,0,0,1,0,0,1,0,0,0,95.17,95.86,13.77,13.784356609196035
