cycle_id,size,weight,total_harvested,selling_price,harvested_at
10984,75.0,150.0,11250.0,10275000.0,2021-09-19
10985,270.0,200.0,54000.0,4200000.0,2021-08-06
11017,259.5,898.4,49328.1,73538750.0,2021-10-20
11042,399.0,225.59,25340.68,13797200.0,2021-10-01
11044,110.0,450.0,49500.0,21825000.0,2021-09-28
11080,160.0,212.0,33920.0,8900000.0,2021-09-21
11081,64.0,252.0,16128.0,18182769.23,2021-10-04
11109,200.0,97.0,19400.0,97.0,2021-09-06
11149,175.0,250.0,43750.0,9500000.0,2021-09-03
11159,46.0,406.0,18676.0,32480000.0,2021-10-19
11168,472.0,650.0,68500.0,40395000.0,2021-10-14
11225,203.0,437.7,29597.65,23008690.0,2021-10-19
11304,1040.0,285.0,73700.0,10210000.0,2021-10-10
11317,368.0,230.0,26260.0,0.0,2021-10-27
11338,260.0,547.6,45167.6,32448800.0,2021-10-30
11339,358.0,341.0,39462.0,16400000.0,2021-10-30
11340,215.5,450.0,26087.0,31805200.0,2021-11-15
11341,216.5,395.0,23560.0,27343400.0,2021-11-15
11342,158.0,782.5,54245.0,51768750.0,2021-11-04
11345,136.0,850.0,50150.0,57500000.0,2021-09-25
11346,400.0,355.0,71000.0,15265000.0,2021-09-19
11347,300.0,28.0,8400.0,1120.0,2021-09-13
11351,165.0,100.0,16500.0,4400000.0,2021-10-01
11352,154.0,292.0,22484.0,17724400.0,2021-11-01
11422,150.0,150.0,22500.0,7350000.0,2021-10-02
11424,235.0,250.0,58750.0,250.0,2021-09-14
11509,100.0,200.0,20000.0,10400000.0,2021-10-17
11522,730.0,90.0,21200.0,90.0,2021-10-16
11523,450.0,100.0,23600.0,100.0,2021-10-17
11524,450.0,263.0,59790.0,263.0,2021-10-10
11544,192.0,352.0,33720.0,18600000.0,2021-10-16
11609,374.0,1509.13,92345.05,108063981.0,2021-11-21
11618,230.0,200.0,46000.0,8600000.0,2021-10-13
11632,295.0,1320.6,92669.6,81264000.0,2021-11-13
11638,210.0,577.54,60641.7,28600770.0,2021-10-30
11639,74.0,334.0,24716.0,20040000.0,2021-11-04
11642,130.0,96.0,12480.0,4128000.0,2021-10-20
11675,707.0,815.0,101155.0,41110000.0,2021-11-18
11680,393.0,395.0,47594.0,18927800.0,2021-11-24
11683,125.0,200.0,25000.0,200.0,2021-10-12
11741,160.0,213.0,17040.0,11631000.0,2021-11-20
